     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
      6480 kB        20ms       4.7%    4458.0 GB/s         0 GB/s          0 GB/s       4458 GB/s          0 GB/s 
      7584 kB        19ms       7.9%    4668.5 GB/s         0 GB/s          0 GB/s       4668 GB/s          0 GB/s 
      8872 kB        20ms       4.6%    4616.1 GB/s         0 GB/s          0 GB/s       4616 GB/s          0 GB/s 
     10380 kB        20ms       4.3%    4533.1 GB/s         0 GB/s          0 GB/s       4533 GB/s          0 GB/s 
     12148 kB        19ms       0.2%    4666.1 GB/s         0 GB/s          0 GB/s       4666 GB/s          0 GB/s 
     14212 kB        20ms       4.4%    4475.1 GB/s         0 GB/s          0 GB/s       4475 GB/s          0 GB/s 
     16628 kB        19ms       2.1%    4663.4 GB/s         0 GB/s          0 GB/s       4663 GB/s          0 GB/s 
     19456 kB        19ms       0.2%    4644.9 GB/s         0 GB/s          0 GB/s       4645 GB/s          0 GB/s 
     22764 kB        31ms       7.3%    3090.5 GB/s        25 GB/s          0 GB/s       3116 GB/s          0 GB/s 
     26632 kB        39ms       3.3%    2448.7 GB/s        23 GB/s          0 GB/s       2471 GB/s          0 GB/s 
     31160 kB        37ms      10.6%    2749.0 GB/s        25 GB/s          0 GB/s       2774 GB/s          0 GB/s 
     36456 kB        33ms       7.8%    2864.9 GB/s        27 GB/s          0 GB/s       2891 GB/s          0 GB/s 
     42656 kB        33ms       6.8%    2889.2 GB/s        27 GB/s          0 GB/s       2916 GB/s          0 GB/s 
     49908 kB        36ms       8.8%    2709.4 GB/s        25 GB/s          0 GB/s       2735 GB/s          0 GB/s 
     58392 kB        35ms       8.4%    2859.8 GB/s        26 GB/s          0 GB/s       2886 GB/s          0 GB/s 
     68320 kB        39ms       1.7%    2574.3 GB/s        24 GB/s          0 GB/s       2598 GB/s          0 GB/s 
