     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
      6480 kB        27ms       2.0%    2391.5 GB/s        23 GB/s          0 GB/s       2392 GB/s          0 GB/s 
      7584 kB        28ms       0.2%    2313.0 GB/s        29 GB/s          0 GB/s       2313 GB/s          0 GB/s 
      8872 kB        28ms       0.4%    2333.4 GB/s        29 GB/s          0 GB/s       2333 GB/s          0 GB/s 
     10380 kB        30ms       0.6%    2170.6 GB/s        27 GB/s          0 GB/s       2171 GB/s          0 GB/s 
     12148 kB        28ms       1.5%    2328.7 GB/s        29 GB/s          0 GB/s       2329 GB/s          0 GB/s 
     14212 kB        31ms       0.3%    2087.1 GB/s        26 GB/s          0 GB/s       2087 GB/s          0 GB/s 
     16628 kB        28ms       1.0%    2325.7 GB/s        29 GB/s          0 GB/s       2326 GB/s          0 GB/s 
     19456 kB        29ms       0.4%    2330.1 GB/s        29 GB/s          0 GB/s       2330 GB/s          0 GB/s 
     22764 kB        29ms       0.5%    2341.0 GB/s        29 GB/s          0 GB/s       2341 GB/s          0 GB/s 
     26632 kB        31ms       0.2%    2171.1 GB/s        27 GB/s          0 GB/s       2171 GB/s          0 GB/s 
     31160 kB        29ms       0.7%    2372.3 GB/s        32 GB/s          0 GB/s       2372 GB/s          0 GB/s 
     36456 kB        30ms       0.2%    2329.3 GB/s        29 GB/s          0 GB/s       2329 GB/s          0 GB/s 
     42656 kB        30ms       0.4%    2311.9 GB/s        29 GB/s          0 GB/s       2312 GB/s          0 GB/s 
     49908 kB        30ms       1.0%    2304.4 GB/s        30 GB/s          0 GB/s       2304 GB/s          0 GB/s 
     58392 kB        31ms       0.7%    2300.6 GB/s        29 GB/s          0 GB/s       2301 GB/s          0 GB/s 
     68320 kB        32ms       0.4%    2302.5 GB/s        29 GB/s          0 GB/s       2302 GB/s          0 GB/s 
