clock: 800 800 800 800 800 800 800 800 800 800 800 800 800 800 800 800 800 800 800 
     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
     12960 kB       997ms       8.6%    1991.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     15168 kB       876ms       6.9%    2341.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     17744 kB       895ms       3.7%    2211.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     20760 kB      1018ms      11.5%    1941.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     24296 kB       845ms       3.8%    2340.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     28424 kB      2095ms      16.3%     967.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     33256 kB       844ms       4.4%    2355.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     38912 kB      1684ms       5.1%    1157.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     45528 kB       881ms       4.7%    2258.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     53264 kB      1963ms      10.8%    1023.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     62320 kB       829ms       3.2%    2394.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     72912 kB       903ms       4.1%    2211.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     85312 kB       887ms       6.5%    2321.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     99816 kB       854ms       3.7%    2338.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    116784 kB      1048ms       8.9%    1949.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    136640 kB       894ms       6.7%    2317.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    159872 kB      1860ms       9.3%    1122.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    187048 kB       973ms      10.0%    2072.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    218848 kB       872ms       2.4%    2275.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    256048 kB       987ms       3.4%    2042.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    299576 kB       972ms       4.1%    2071.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    350512 kB       989ms       5.4%    2046.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    410096 kB       876ms       3.8%    2369.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    479808 kB       922ms       6.3%    2301.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    561384 kB       888ms       3.4%    2313.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    656816 kB      1029ms       9.7%    2029.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    768472 kB       968ms       5.2%    2238.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    899120 kB      1076ms      13.1%    1997.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
