
1 852 blocks   208 its      52.250 Fl/B        824 GB/s     43076 GF/s   2205 Mhz   358 W   68°C

0 852 blocks   216 its      54.250 Fl/B        583 GB/s     31651 GF/s   1440 Mhz   304 W   65°C
1 852 blocks   216 its      54.250 Fl/B        817 GB/s     44326 GF/s   2175 Mhz   357 W   68°C

0 852 blocks   224 its      56.250 Fl/B        558 GB/s     31368 GF/s   1455 Mhz   305 W   65°C
1 852 blocks   224 its      56.250 Fl/B        806 GB/s     45365 GF/s   2145 Mhz   350 W   67°C

0 852 blocks   232 its      58.250 Fl/B        562 GB/s     32751 GF/s   1485 Mhz   306 W   65°C
1 852 blocks   232 its      58.250 Fl/B        796 GB/s     46354 GF/s   2160 Mhz   352 W   67°C

0 852 blocks   240 its      60.250 Fl/B        549 GB/s     33076 GF/s   1500 Mhz   303 W   65°C
1 852 blocks   240 its      60.250 Fl/B        777 GB/s     46838 GF/s   2130 Mhz   354 W   67°C

0 852 blocks   248 its      62.250 Fl/B        535 GB/s     33331 GF/s   1515 Mhz   309 W   65°C
1 852 blocks   248 its      62.250 Fl/B        753 GB/s     46889 GF/s   2130 Mhz   357 W   67°C

0 852 blocks   256 its      64.250 Fl/B        511 GB/s     32855 GF/s   1515 Mhz   303 W   66°C
1 852 blocks   256 its      64.250 Fl/B        724 GB/s     46520 GF/s   2115 Mhz   354 W   67°C

0 852 blocks   264 its      66.250 Fl/B        512 GB/s     33919 GF/s   1545 Mhz   310 W   66°C
1 852 blocks   264 its      66.250 Fl/B        715 GB/s     47380 GF/s   2130 Mhz   353 W   67°C

0 852 blocks   272 its      68.250 Fl/B        497 GB/s     33943 GF/s   1530 Mhz   309 W   66°C
1 852 blocks   272 its      68.250 Fl/B        698 GB/s     47631 GF/s   2145 Mhz   355 W   67°C

0 852 blocks   280 its      70.250 Fl/B        484 GB/s     33991 GF/s   1530 Mhz   302 W   67°C
1 852 blocks   280 its      70.250 Fl/B        678 GB/s     47630 GF/s   2130 Mhz   354 W   67°C

0 852 blocks   288 its      72.250 Fl/B        461 GB/s     33306 GF/s   1515 Mhz   305 W   67°C
1 852 blocks   288 its      72.250 Fl/B        653 GB/s     47172 GF/s   2145 Mhz   355 W   67°C

0 852 blocks   296 its      74.250 Fl/B        464 GB/s     34446 GF/s   1545 Mhz   304 W   67°C
1 852 blocks   296 its      74.250 Fl/B        649 GB/s     48179 GF/s   2160 Mhz   352 W   67°C

0 852 blocks   304 its      76.250 Fl/B        450 GB/s     34317 GF/s   1545 Mhz   310 W   67°C
1 852 blocks   304 its      76.250 Fl/B        629 GB/s     47959 GF/s   2145 Mhz   359 W   67°C

